"id_treatment","ecoli_conc"
1,0
2,123893805.309735
3,0
4,66101694.9152542
5,165625000
6,1.6e+09
7,NA
8,NA
9,NA
10,NA
11,NA
12,0
13,0
14,0
15,1069306930.69307
16,491596638.655462
17,1414814814.81481
18,897350993.377483
19,671875000
20,38815789.4736842
21,NA
22,0
23,0
24,0
25,NA
26,1468253968.25397
27,NA
28,1487603305.78512
29,1463414634.14634
30,NA
31,NA
32,NA
33,NA
34,2157534.24657534
35,0
36,6835937.5
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,962566844.919786
52,NA
53,NA
54,551724137.931034
55,619047619.047619
56,181102362.204724
57,640449438.202247
58,241666666.666667
59,4e+08
60,1305263157.89474
61,558558558.558558
62,685185185.185185
63,1039215686.27451
64,50925925.9259259
65,219594594.594595
66,176991150.442478
67,104761904.761905
68,110236220.472441
69,128318584.070796
70,901098901.098901
71,0
72,0
73,0
74,0
75,6.5e+07
76,96774193.5483871
77,565217.391304348
78,1428571.42857143
79,5e+05
80,56034.4827586207
81,1.76e+08
82,4592592.59259259
83,0
84,0
69,11724.1379310345
69,0
85,0
86,1923076923.07692
87,0
88,0
89,5185.18518518519
90,0
91,8333.33333333333
92,117338.709677419
93,NA
94,NA
95,1969696.96969697
96,NA
97,1127.81954887218
98,0
99,0
100,390977443.609023
101,0
102,0
103,23437.5
104,28800
105,1130952.38095238
106,0
107,0
108,605882352.941177
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
116,NA
117,0
118,0
119,0
120,NA
121,NA
122,69306.9306930693
123,223602484.47205
124,0
125,0
126,245454545.454545
127,100609756.097561
128,NA
129,0
130,173575129.533679
131,1017964071.85629
132,0
133,0
134,0
135,NA
136,NA
137,0
138,NA
139,422297297.297297
140,NA
141,0
142,0
143,0
144,2191.01123595506
145,634920634.920635
146,24038.4615384615
147,NA
148,1277777777.77778
149,152631.578947368
150,2634408.60215054
151,68888.8888888889
152,392156.862745098
156,12937.0629370629
157,159090.909090909
158,1982758.62068966
159,1870.74829931973
160,0
161,0
165,NA
166,27259.0361445783
167,10000
174,0
175,0
176,0
180,0
181,0
182,0
186,0
187,0
188,0
189,527522.935779816
190,0
191,0
192,0
193,0
194,37337.6623376623
204,1894736842.10526
205,NA
206,NA
