"id_bact","id_treatment","date","sample_weight","dilution_ecoli","ecoli_counted","dilution_enterococcus","enterococcus_counted","ecoli_conc"
1,6,"2025-05-14T00:00:00Z",0.25,100,4,NA,NA,1600
2,6,"2025-05-14T00:00:00Z",0.23,100,8,NA,NA,3478.26086956522
3,6,"2025-05-14T00:00:00Z",0.32,100,3,NA,NA,937.5
4,9,"2025-05-14T00:00:00Z",0.22,100,0,NA,NA,0
5,9,"2025-05-14T00:00:00Z",0.13,100,0,NA,NA,0
6,9,"2025-05-14T00:00:00Z",0.15,100,0,NA,NA,0
7,6,"2025-05-19T00:00:00Z",0.15,10,1,NA,NA,66.6666666666667
8,6,"2025-05-19T00:00:00Z",0.21,10,6,NA,NA,285.714285714286
9,6,"2025-05-19T00:00:00Z",0.29,10,10,NA,NA,344.827586206897
10,9,"2025-05-19T00:00:00Z",0.19,10,1,NA,NA,52.6315789473684
11,9,"2025-05-19T00:00:00Z",0.21,10,0,NA,NA,0
12,9,"2025-05-19T00:00:00Z",0.16,10,2,NA,NA,125
13,10,"2025-07-23T00:00:00Z",0.71,1000000,94,NA,NA,132394366.197183
14,11,"2025-07-23T00:00:00Z",0.62,2000000,75,NA,NA,241935483.870968
15,12,"2025-07-23T00:00:00Z",0.85,1000000,91,NA,NA,107058823.529412
16,13,"2025-07-23T00:00:00Z",0.54,100000,39,NA,NA,7222222.22222222
17,14,"2025-07-23T00:00:00Z",1.08,100000,170,NA,NA,15740740.7407407
18,15,"2025-07-23T00:00:00Z",0.98,1000000,75,NA,NA,76530612.244898
19,16,"2025-07-23T00:00:00Z",1.08,5000,16,NA,NA,74074.0740740741
20,17,"2025-07-23T00:00:00Z",1.45,5000,0,NA,NA,0
21,18,"2025-07-23T00:00:00Z",1.38,50,21,NA,NA,760.869565217391
22,19,"2025-07-24T00:00:00Z",0.57,2000000,85,NA,NA,298245614.035088
23,20,"2025-07-24T00:00:00Z",1.14,2000000,48,NA,NA,84210526.3157895
24,21,"2025-07-24T00:00:00Z",0.91,2000000,73,NA,NA,160439560.43956
25,22,"2025-07-24T00:00:00Z",1.07,2000000,72,NA,NA,134579439.252336
26,23,"2025-07-24T00:00:00Z",0.94,2000000,104,NA,NA,221276595.744681
27,24,"2025-07-24T00:00:00Z",1.06,2000000,106,NA,NA,2e+08
28,29,"2025-07-24T00:00:00Z",1.35,50,0,NA,NA,0
29,30,"2025-07-24T00:00:00Z",1.05,50,0,NA,NA,0
30,31,"2025-07-24T00:00:00Z",1.23,50,0,NA,NA,0
31,77,"2025-08-19T00:00:00Z",1.06,5000000,365,NA,NA,1721698113.20755
32,85,"2025-08-19T00:00:00Z",1.18,5000000,331,NA,NA,1402542372.88136
33,87,"2025-08-19T00:00:00Z",1.4,10,0,NA,NA,0
34,88,"2025-08-19T00:00:00Z",1.41,10,1,NA,NA,7.09219858156028
35,89,"2025-08-19T00:00:00Z",2,10,0,NA,NA,0
36,90,"2025-08-19T00:00:00Z",1.52,5000000,258,NA,NA,848684210.526316
37,91,"2025-08-19T00:00:00Z",1.17,5000000,119,NA,NA,508547008.547009
38,92,"2025-08-19T00:00:00Z",1.56,5000000,508,NA,NA,NA
39,93,"2025-08-19T00:00:00Z",1.37,5000000,146,NA,NA,532846715.328467
40,94,"2025-08-19T00:00:00Z",1.5,5000000,221,NA,NA,736666666.666667
41,95,"2025-08-19T00:00:00Z",1.54,5000000,208,NA,NA,675324675.324675
42,118,"2025-08-21T00:00:00Z",1.4,10,62,NA,NA,442.857142857143
43,116,"2025-08-21T00:00:00Z",1.29,10,28,NA,NA,217.054263565891
44,108,"2025-08-21T00:00:00Z",1.5,10,17,NA,NA,113.333333333333
45,103,"2025-08-21T00:00:00Z",0.92,50000,229,NA,NA,12445652.173913
46,104,"2025-08-21T00:00:00Z",0.98,50000,55,NA,NA,2806122.44897959
47,105,"2025-08-21T00:00:00Z",0.8,50000,69,NA,NA,4312500
48,110,"2025-08-21T00:00:00Z",0.75,50000000,156,NA,NA,NA
49,111,"2025-08-21T00:00:00Z",0.62,50000000,138,NA,NA,NA
50,112,"2025-08-21T00:00:00Z",0.71,50000000,157,NA,NA,NA
51,101,"2025-08-21T00:00:00Z",0.64,100000,163,NA,NA,25468750
52,102,"2025-08-21T00:00:00Z",0.98,100000,37,NA,NA,3775510.20408163
53,103,"2025-08-21T00:00:00Z",0.59,10000000,13,NA,NA,220338983.050847
54,117,"2025-08-21T00:00:00Z",1.07,10000000,307,NA,NA,NA
55,109,"2025-08-21T00:00:00Z",0.72,10000000,24,NA,NA,333333333.333333
56,119,"2025-08-27T00:00:00Z",0.89,50,0,NA,NA,0
57,120,"2025-08-27T00:00:00Z",1.77,50,0,NA,NA,0
58,121,"2025-08-27T00:00:00Z",1.13,100000,80,NA,NA,7079646.01769912
59,122,"2025-08-27T00:00:00Z",1.6,100000,75,NA,NA,4687500
60,123,"2025-08-27T00:00:00Z",1.28,10000,56,NA,NA,437500
61,124,"2025-08-27T00:00:00Z",2.06,10000,32,NA,NA,155339.805825243
62,125,"2025-08-27T00:00:00Z",1.39,500,160,NA,NA,57553.9568345324
63,126,"2025-08-27T00:00:00Z",1.42,500,69,NA,NA,24295.7746478873
64,127,"2025-08-27T00:00:00Z",1.92,500,32,NA,NA,8333.33333333333
