id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,exclude,id_bact,date,ecoli_cfu_per_g,enterococcus_cfu_per_g,area_size_0dpi,area_size_7dpi,area_size_14dpi,area_size_2dpi,area_size_5dpi,growth_description_0dpi,growth_description_7dpi,growth_description_14dpi,growth_description_2dpi,growth_description_5dpi,contamination_area_0dpi,contamination_area_7dpi,contamination_area_14dpi,contamination_area_2dpi,contamination_area_5dpi,reproductive_structures_0dpi,reproductive_structures_7dpi,reproductive_structures_14dpi,reproductive_structures_2dpi,reproductive_structures_5dpi,collection_date_1,collection_date_2,total_weight,ph,water_content_0dpi,faecal_ecoli_cfu_per_g_1,faecal_ecoli_cfu_per_g_2,faecal_ecoli_cfu_per_g_3,species,material,material_2,production_date,experiment
1,1,1,2025-05-08,25.7,NA,NA,NA,exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,1_1
2,1,1,2025-05-08,27.05,NA,NA,NA,exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,1_1
3,1,1,2025-05-08,26.400000000000002,NA,NA,NA,exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,1_1
4,2,1,2025-05-08,23.95,NA,NA,NA,exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,P. ostreatus v. Floridae,wood chips,oatbran 10%,NA,1_1
5,3,1,2025-05-08,26.569999999999997,NA,NA,NA,exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,C. comatus,corn cobs,oatbran 10%,NA,1_1
6,4,1,2025-05-08,26.45,NA,NA,NA,exclude,1,2025-05-14,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,ctrl,corn cobs,oatbran 10%,NA,1_1
6,4,1,2025-05-08,26.45,NA,NA,NA,exclude,2,2025-05-14,3478.26086956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,ctrl,corn cobs,oatbran 10%,NA,1_1
6,4,1,2025-05-08,26.45,NA,NA,NA,exclude,3,2025-05-14,937.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,ctrl,corn cobs,oatbran 10%,NA,1_1
6,4,1,2025-05-08,26.45,NA,NA,NA,exclude,7,2025-05-19,66.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,ctrl,corn cobs,oatbran 10%,NA,1_1
6,4,1,2025-05-08,26.45,NA,NA,NA,exclude,8,2025-05-19,285.714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07,NA,240,NA,0.81,1920,1543.47826086957,2000,ctrl,corn cobs,oatbran 10%,NA,1_1
