id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,exclude,id_bact,date,ecoli_cfu_per_g,area_size_0dpi,area_size_2dpi,area_size_5dpi,area_size_7dpi,area_size_14dpi,growth_description_0dpi,growth_description_2dpi,growth_description_5dpi,growth_description_7dpi,growth_description_14dpi,contamination_area_0dpi,contamination_area_2dpi,contamination_area_5dpi,contamination_area_7dpi,contamination_area_14dpi,reproductive_structures_0dpi,reproductive_structures_2dpi,reproductive_structures_5dpi,reproductive_structures_7dpi,reproductive_structures_14dpi,collection_date_1,collection_date_2,ph,additive,additive_ratio,water_content_0dpi,faecal_ecoli_cfu_per_g_1,faecal_ecoli_cfu_per_g_2,faecal_ecoli_cfu_per_g_3,species,material,material_2,production_date,experiment
1,46,1,2025-08-13,15.03,14.87,NA,5.52,NA,1,2025-08-27,NA,0.638,0.638,0.638,0.64,0.64,0,0,0,0,0,0,0,0,4.742,6.679,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,ctrl,MEA,none,NA,1_2
2,46,1,2025-08-13,19.16,17.81,NA,8.92,NA,2,2025-08-27,NA,0.638,0.64,0.64,0.64,0.64,0,0,0,0,0,0,0,29.603,57.74,63.617,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,ctrl,MEA,none,NA,1_2
3,46,1,2025-08-13,16.29,16.16,NA,5.53,NA,3,2025-08-27,NA,0.771,0.771,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,ctrl,MEA,none,NA,1_2
4,47,1,2025-08-13,14.78,14.11,NA,8.85,NA,4,2025-08-27,NA,0.693,43.01,43.667,63.62,63.617,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F36 Sordaria,MEA,none,NA,1_2
5,47,1,2025-08-13,15.85,15.16,NA,8.95,NA,5,2025-08-27,NA,0.736,31.037,63.617,63.617,63.617,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F36 Sordaria,MEA,none,NA,1_2
6,47,1,2025-08-13,14.58,14.01,NA,8.94,NA,6,2025-08-27,NA,0.716,44.025,63.617,63.617,63.617,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F36 Sordaria,MEA,none,NA,1_2
7,48,1,2025-08-13,16.27,15.12,NA,8.48,NA,7,2025-08-27,NA,0.733,15.87,63.617,63.617,63.617,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F35 Sordaria,MEA,none,NA,1_2
8,48,1,2025-08-13,16.45,15.36,NA,9.05,NA,8,2025-08-27,NA,0.583,21.402,NA,63.617,63.617,0,3,NA,3,4,0,0,NA,0,0,0,0,NA,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F35 Sordaria,MEA,none,NA,1_2
9,48,1,2025-08-13,16.99,16.22,NA,9.07,NA,9,2025-08-27,NA,0.733,22.752,63.617,63.617,63.617,0,3,3,3,3,0,0,0,0,13.039,0,0,0,1,1,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F35 Sordaria,MEA,none,NA,1_2
10,49,1,2025-08-13,21.88,21.19,NA,8.51,NA,10,2025-08-27,NA,0.178,0.18,4.938,4.938,4.938,0,0,3,3,3,0,0,42.901,42.901,63.617,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,T. koningii,MEA,none,NA,1_2
11,49,1,2025-08-13,15.99,15.55,NA,8.72,NA,11,2025-08-27,NA,0.69,1.012,20.95,32.306,63.617,0,5,3,3,3,0,0,0,0,0,0,0,0,1,1,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,T. koningii,MEA,none,NA,1_2
12,49,1,2025-08-13,16.09,15.57,NA,9.23,NA,12,2025-08-27,NA,0.733,1.628,23.949,43.321,63.617,0,5,3,3,3,0,0,0,0,0,0,0,0,0,1,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,T. koningii,MEA,none,NA,1_2
13,50,1,2025-08-13,17.21,17.1,NA,5.57,NA,13,2025-08-27,NA,0.779,0.779,0.78,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F40,MEA,none,NA,1_2
14,50,1,2025-08-13,16.72,16.61,NA,5.54,NA,14,2025-08-27,NA,0.703,0.703,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F40,MEA,none,NA,1_2
15,50,1,2025-08-13,16.57,16.49,NA,5.53,NA,15,2025-08-27,NA,0.703,0.703,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F40,MEA,none,NA,1_2
16,51,1,2025-08-13,13.77,12.89,NA,8.98,NA,16,2025-08-27,NA,0.726,2.366,6.21,6.21,6.21,0,5,5,5,5,0,0,63.617,63.617,63.617,0,NA,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F15 Faecal Isolate 1,MEA,none,NA,1_2
17,51,1,2025-08-13,16.26,15.59,NA,9.08,NA,17,2025-08-27,NA,0.726,1.961,9.858,16.148,53.03,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F15 Faecal Isolate 1,MEA,none,NA,1_2
18,51,1,2025-08-13,15.91,15.36,NA,9.04,NA,18,2025-08-27,NA,0.719,1.925,4.585,5.271,5.271,0,5,5,5,5,0,0,63.617,63.617,63.617,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F15 Faecal Isolate 1,MEA,none,NA,1_2
19,52,1,2025-08-13,15.6,14.91,NA,9.02,NA,19,2025-08-27,NA,0.761,3.302,15.828,19.101,19.101,0,3,3,3,3,0,0,47.789,44.516,44.516,0,0,0,0,0,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F31 Mucor I3,MEA,none,NA,1_2
20,52,1,2025-08-13,14.58,13.23,NA,9.04,NA,20,2025-08-27,NA,0.743,3.917,12.05,12.05,12.05,0,4,4,4,4,0,3.284,51.56699999999999,51.56699999999999,51.56699999999999,0,0,1,1,1,2025-08-12,NA,6.63,wood,0.5,0.53,157407.407407407,89285.7142857143,91463.4146341463,F31 Mucor I3,MEA,none,NA,1_2
