"id_treatment","id_inoc","id_faeces","starting_date","weight_0dpi","weight_14dpi","water_content_14dpi","ph_14dpi","exclude","dry_weight_14dpi"
1,46,1,"2025-08-13T00:00:00Z",15.03,14.87,0.535545023696682,5.52,NA,6.90644549763034
2,46,1,"2025-08-13T00:00:00Z",19.16,17.81,0.510121457489879,8.92,"exclude",8.72473684210526
3,46,1,"2025-08-13T00:00:00Z",16.29,16.16,0.5,5.53,NA,8.07999999999999
4,47,1,"2025-08-13T00:00:00Z",14.78,14.11,0.507109004739336,8.85,NA,6.95469194312796
5,47,1,"2025-08-13T00:00:00Z",15.85,15.16,0.533333333333333,8.95,NA,7.07466666666667
6,47,1,"2025-08-13T00:00:00Z",14.58,14.01,0.491525423728813,8.94,NA,7.12372881355933
7,48,1,"2025-08-13T00:00:00Z",16.27,15.12,0.483568075117371,8.48,NA,7.80845070422535
8,48,1,"2025-08-13T00:00:00Z",16.45,15.36,0.535580524344569,9.05,NA,7.13348314606742
9,48,1,"2025-08-13T00:00:00Z",16.99,16.22,0.473933649289099,9.07,NA,8.53279620853081
10,49,1,"2025-08-13T00:00:00Z",21.88,21.19,NA,8.51,NA,NA
11,49,1,"2025-08-13T00:00:00Z",15.99,15.55,0.490909090909091,8.72,NA,7.91636363636363
12,49,1,"2025-08-13T00:00:00Z",16.09,15.57,0.495575221238938,9.23,NA,7.85389380530974
13,50,1,"2025-08-13T00:00:00Z",17.21,17.1,0.5,5.57,NA,8.54999999999999
14,50,1,"2025-08-13T00:00:00Z",16.72,16.61,0.523364485981308,5.54,NA,7.91691588785047
15,50,1,"2025-08-13T00:00:00Z",16.57,16.49,0.512048192771085,5.53,NA,8.04632530120481
16,51,1,"2025-08-13T00:00:00Z",13.77,12.89,0.50952380952381,8.98,NA,6.32223809523809
17,51,1,"2025-08-13T00:00:00Z",16.26,15.59,0.524305555555556,9.08,NA,7.41607638888889
18,51,1,"2025-08-13T00:00:00Z",15.91,15.36,0.523809523809524,9.04,NA,7.31428571428571
19,52,1,"2025-08-13T00:00:00Z",15.6,14.91,0.541353383458647,9.02,NA,6.83842105263157
