id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,exclude,experiment
1,1,1,2025-05-08,25.7,NA,NA,NA,exclude,1_1
2,1,1,2025-05-08,27.05,NA,NA,NA,exclude,1_1
3,1,1,2025-05-08,26.4,NA,NA,NA,exclude,1_1
4,2,1,2025-05-08,23.95,NA,NA,NA,exclude,1_1
5,3,1,2025-05-08,26.57,NA,NA,NA,exclude,1_1
6,4,1,2025-05-08,26.45,NA,NA,NA,exclude,1_1
7,4,1,2025-05-08,26.17,NA,NA,NA,exclude,1_1
8,4,1,2025-05-08,26.31,NA,NA,NA,exclude,1_1
9,6,1,2025-05-08,26.74,NA,NA,NA,exclude,1_1
10,7,2,2025-07-09,20.92,20.05,NA,8.47,NA,1_1
11,7,2,2025-07-09,21.47,20.58,NA,8.53,NA,1_1
12,7,2,2025-07-09,21.85,21.08,NA,8.64,NA,1_1
13,8,2,2025-07-09,20.14,19.22,NA,8.75,NA,1_1
14,8,2,2025-07-09,20.95,19.95,NA,8.8,NA,1_1
15,8,2,2025-07-09,21.59,20.64,NA,8.79,NA,1_1
16,9,2,2025-07-09,21.79,20.93,NA,5.63,NA,1_1
17,9,2,2025-07-09,21.02,20.26,NA,5.3,NA,1_1
18,9,2,2025-07-09,22.21,21.37,NA,6.01,NA,1_1
19,10,3,2025-07-10,22.21,21.63,NA,8.62,NA,1_1
20,10,3,2025-07-10,21.71,21.16,NA,8.7,NA,1_1
21,10,3,2025-07-10,21.94,21.38,NA,8.84,NA,1_1
22,11,3,2025-07-10,21.74,21.26,NA,8.82,NA,1_1
23,11,3,2025-07-10,21.05,20.47,NA,8.8,NA,1_1
24,11,3,2025-07-10,21.55,20.94,NA,8.56,NA,1_1
25,12,3,2025-07-10,20.47,NA,NA,NA,NA,1_1
26,12,3,2025-07-10,21.43,NA,NA,NA,NA,1_1
27,12,3,2025-07-10,21.22,NA,NA,NA,NA,1_1
28,12,3,2025-07-10,22,NA,NA,NA,NA,1_1
29,13,3,2025-07-10,21.18,20.74,NA,5.56,NA,1_1
30,13,3,2025-07-10,23.02,22.8,NA,5.52,NA,1_1
31,13,3,2025-07-10,22.64,22.42,NA,5.55,NA,1_1
32,14,4,2025-07-15,20.3,NA,NA,NA,NA,1_1
33,14,4,2025-07-15,21.22,NA,NA,NA,NA,1_1
34,14,4,2025-07-15,22.01,NA,NA,NA,NA,1_1
35,15,4,2025-07-15,21.22,NA,NA,NA,NA,1_1
36,15,4,2025-07-15,21.86,NA,NA,NA,NA,1_1
37,15,4,2025-07-15,21.57,NA,NA,NA,NA,1_1
38,16,4,2025-07-15,21.61,NA,NA,NA,NA,1_1
39,16,4,2025-07-15,21.39,NA,NA,NA,NA,1_1
40,16,4,2025-07-15,22.02,NA,NA,NA,NA,1_1
41,17,4,2025-07-15,20.99,NA,NA,NA,NA,1_1
42,18,4,2025-07-15,21.26,NA,NA,NA,NA,1_1
43,19,5,2025-07-22,23.07,NA,NA,NA,NA,1_1
44,19,5,2025-07-22,23.49,NA,NA,NA,NA,1_1
45,19,5,2025-07-22,21.91,NA,NA,NA,NA,1_1
46,20,5,2025-07-22,22.33,NA,NA,NA,NA,1_1
47,20,5,2025-07-22,23.34,NA,NA,NA,NA,1_1
48,20,5,2025-07-22,23.33,NA,NA,NA,NA,1_1
49,21,5,2025-07-22,22.66,NA,NA,NA,NA,1_1
50,21,5,2025-07-22,22.93,NA,NA,NA,NA,1_1
51,21,5,2025-07-22,21.07,NA,NA,NA,NA,1_1
52,22,5,2025-07-22,23.35,NA,NA,NA,NA,1_1
53,22,5,2025-07-22,22.77,NA,NA,NA,NA,1_1
54,22,5,2025-07-22,21.78,NA,NA,NA,NA,1_1
55,23,5,2025-07-22,22.51,NA,NA,NA,NA,1_1
56,23,5,2025-07-22,24.32,NA,NA,NA,NA,1_1
57,23,5,2025-07-22,24.34,NA,NA,NA,NA,1_1
58,24,5,2025-07-22,22.96,NA,NA,NA,NA,1_1
59,24,5,2025-07-22,22.65,NA,NA,NA,NA,1_1
60,24,5,2025-07-22,23.23,NA,NA,NA,NA,1_1
61,25,5,2025-07-22,23.32,NA,NA,NA,NA,1_1
62,25,5,2025-07-22,22.7,NA,NA,NA,NA,1_1
63,26,6,2025-07-24,21.88,NA,NA,NA,NA,1_1
64,26,6,2025-07-24,23.11,NA,NA,NA,NA,1_1
65,26,6,2025-07-24,21.41,NA,NA,NA,NA,1_1
66,27,6,2025-07-24,22.62,NA,NA,NA,NA,1_1
67,27,6,2025-07-24,22.68,NA,NA,NA,NA,1_1
68,27,6,2025-07-24,22.08,NA,NA,NA,NA,1_1
69,28,6,2025-07-24,22.66,NA,NA,NA,NA,1_1
70,28,6,2025-07-24,21.66,NA,NA,NA,NA,1_1
71,28,6,2025-07-24,21.5,NA,NA,NA,NA,1_1
72,29,6,2025-07-24,21.87,NA,NA,NA,NA,1_1
73,29,6,2025-07-24,22,NA,NA,NA,NA,1_1
74,29,6,2025-07-24,21.85,NA,NA,NA,NA,1_1
75,30,7,2025-08-05,22.81,22.05,NA,NA,NA,1_1
76,30,7,2025-08-05,23,22.3,NA,NA,NA,1_1
77,30,7,2025-08-05,23.91,22.5,0.768888888888889,8.54,NA,1_1
78,31,7,2025-08-05,22.83,21.96,NA,NA,NA,1_1
79,31,7,2025-08-05,20.25,19.57,NA,NA,NA,1_1
80,31,7,2025-08-05,19.55,18.91,NA,NA,NA,1_1
81,32,7,2025-08-05,21.83,21.14,NA,NA,NA,1_1
82,32,7,2025-08-05,24.31,23.59,NA,NA,NA,1_1
83,32,7,2025-08-05,22.93,22.18,NA,NA,NA,1_1
84,31,7,2025-08-05,22.66,21.96,NA,NA,NA,1_1
85,31,7,2025-08-05,22.61,20.86,0.74468085106383,8.73,NA,1_1
86,31,7,2025-08-05,22.06,21.31,NA,NA,NA,1_1
87,34,7,2025-08-05,19.68,18.85,0.823728813559322,5.47,NA,1_1
88,34,7,2025-08-05,21.96,21.09,0.817275747508306,5.49,NA,1_1
89,34,7,2025-08-05,23.62,22.88,0.761658031088083,5.91,NA,1_1
90,35,7,2025-08-05,19.91,18.05,0.83739837398374,8.88,NA,1_1
91,35,7,2025-08-05,20.47,19.36,0.839130434782609,8.9,NA,1_1
92,35,7,2025-08-05,22.2,20.45,0.835897435897436,8.97,NA,1_1
93,36,7,2025-08-05,21.55,20.35,0.830708661417323,9.11,NA,1_1
94,36,7,2025-08-05,20.92,19.22,0.822950819672131,8.94,NA,1_1
95,36,7,2025-08-05,22.69,20.38,0.834920634920635,8.76,NA,1_1
96,37,7,2025-08-05,22.8,21.7,NA,NA,NA,1_1
97,38,7,2025-08-05,19.1,16.65,NA,NA,exclude,1_1
98,39,8,2025-08-07,21.28,NA,NA,NA,NA,1_1
99,39,8,2025-08-07,21.9,NA,NA,NA,NA,1_1
100,39,8,2025-08-07,20.82,NA,NA,NA,NA,1_1
101,40,8,2025-08-07,21.74,20.76,0.818181818181818,8.65,NA,1_1
102,40,8,2025-08-07,21.31,20.19,0.811764705882353,8.98,NA,1_1
103,40,8,2025-08-07,21.94,21.32,0.795833333333334,8.88,NA,1_1
104,41,8,2025-08-07,23.31,22.21,0.8,8.75,NA,1_1
105,41,8,2025-08-07,20.46,18.84,0.774436090225563,8.82,NA,1_1
106,41,8,2025-08-07,20.99,20.16,0.818181818181818,8.73,NA,1_1
107,42,8,2025-08-07,20.73,NA,NA,NA,NA,1_1
108,42,8,2025-08-07,20.61,20.45,0.791469194312796,5.98,NA,1_1
109,42,8,2025-08-07,20.06,19.59,0.819548872180451,8.94,NA,1_1
110,43,8,2025-08-07,19.98,19.24,0.747826086956523,8.12,NA,1_1
111,43,8,2025-08-07,24.13,23.55,0.798994974874372,8.31,NA,1_1
112,43,8,2025-08-07,20.91,20.64,0.666666666666667,8.18,NA,1_1
113,44,8,2025-08-07,20.33,NA,NA,NA,NA,1_1
114,44,8,2025-08-07,20.67,NA,NA,NA,NA,1_1
115,44,8,2025-08-07,19.46,NA,NA,NA,NA,1_1
116,45,8,2025-08-07,21.09,20.67,0.774390243902439,5.59,NA,1_1
117,45,8,2025-08-07,20.1,19.65,0.804878048780488,8,exclude,1_1
118,45,8,2025-08-07,19.4,18.93,0.769230769230769,5.65,NA,1_1
119,46,9,2025-08-13,21.39,21.15,0.757105943152455,5.45,NA,1_1
120,46,9,2025-08-13,18.9,18.63,0.75,5.6,NA,1_1
121,46,9,2025-08-13,20.31,19.73,0.769230769230769,8.94,exclude,1_1
122,47,9,2025-08-13,19.62,19.11,0.770491803278688,8.42,NA,1_1
