id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,exclude,experiment,species,ph_0dpi,water_content,ecoli_conc_1,ecoli_conc_2,ecoli_conc_3,ecoli_conc_mean,ecoli_conc_sd,area_size_0dpi,area_size_2dpi,area_size_5dpi,area_size_7dpi,area_size_14dpi,area_size_NAdpi,growth_2dpi,growth_5dpi,growth_7dpi,growth_14dpi,ecoli_conc_14dpi,ecoli_conc_6dpi,ecoli_conc_11dpi,dry_weight_0dpi,dry_weight_14dpi,dry_weight_change,dry_weight_percent_change
1,1,1,2025-05-08,25.7,NA,NA,NA,exclude,1_1,P. ostreatus v. Floridae,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.882999999999998,NA,NA,NA
2,1,1,2025-05-08,27.05,NA,NA,NA,exclude,1_1,P. ostreatus v. Floridae,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.139499999999999,NA,NA,NA
3,1,1,2025-05-08,26.4,NA,NA,NA,exclude,1_1,P. ostreatus v. Floridae,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.015999999999998,NA,NA,NA
4,2,1,2025-05-08,23.95,NA,NA,NA,exclude,1_1,P. ostreatus v. Floridae,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.550499999999999,NA,NA,NA
5,3,1,2025-05-08,26.57,NA,NA,NA,exclude,1_1,C. comatus,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0482999999999985,NA,NA,NA
6,4,1,2025-05-08,26.45,NA,NA,NA,exclude,1_1,ctrl,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005.2536231884058,232.40284619594965,5.025499999999998,NA,NA,NA
7,4,1,2025-05-08,26.17,NA,NA,NA,exclude,1_1,ctrl,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.972299999999999,NA,NA,NA
8,4,1,2025-05-08,26.31,NA,NA,NA,exclude,1_1,ctrl,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.998899999999998,NA,NA,NA
9,6,1,2025-05-08,26.74,NA,NA,NA,exclude,1_1,F15 Faecal isolate 1,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,59.21052631578947,5.080599999999999,NA,NA,NA
10,7,2,2025-07-09,20.92,20.05,NA,8.47,NA,1_1,F15 Faecal isolate 1,6.9,0.77,8257575.757575757,6304347.826086957,7246376.811594203,7269433.465085639,976818.0716180839,0.64,NA,NA,16.402,21.902,NA,NA,NA,15.762,21.262,132394366.1971831,NA,NA,4.8116,NA,NA,NA
