id_faeces,ph,water_content,ecoli_conc_1,ecoli_conc_2,ecoli_conc_3,ecoli_conc_mean,ecoli_conc_sd,experiment
1,NA,0.81,1920,1543.4782608695652,2000,1821.159420289855,243.78293566766996,1_1
2,6.9,0.77,8257575.757575757,6304347.826086957,7246376.811594203,7269433.465085639,976818.0716180839,1_1
3,7.2,0.84,13749999.999999998,12733333.333333334,13513513.513513513,13332282.282282282,532011.604345213,1_1
4,7.4,0.87,4253731.343283582,4210526.315789474,5368421.052631579,4610892.903901545,656394.1961115716,1_1
5,6.8,0.8,46666666.666666664,57142857.14285715,46666666.666666664,50158730.15873016,6048431.39151037,1_1
6,6.62,0.7,265573770.4918033,276562500,245652173.91304347,262596148.1349489,15668814.277906468,1_1
7,6.25,0.71,15068493.150684932,13291139.240506329,26315789.473684214,18225140.62162516,7062839.079718593,1_1
8,6.45,0.79,43069306.93069307,28888888.888888888,49065420.56074766,40341205.460109875,10361226.31746497,1_1
9,6.63,0.79,121052.63157894737,384615.3846153846,407766.9902912621,304478.33549519803,159272.53640920605,1_1
1,6.63,0.53,157407.4074074074,89285.71428571428,91463.41463414635,112718.84544242267,38716.74408541606,1_2
2,6.8,0.484444444444445,393750,265909.0909090909,470588.23529411765,376749.10873440286,103393.2336490892,1_2
3,6.73,0.478835978835979,556962.0253164556,541592.9203539824,574647.8873239437,557734.2776647939,16541.009358967294,1_2
