"id_treatment","area_size_7dpi","area_size_14dpi","contamination_area_7dpi","contamination_area_14dpi","growth_description_7dpi","growth_description_14dpi"
10,16.402,21.902,0,0,3,2
11,16.04,20.912,0,0,3,2
12,13,17.2,0,0,3,2
13,36.566,47.514,0,0,4,2
14,48.35,52.25,0,0,4,2
15,39.99,45.52,0,0,4,2
16,0.653,0.653,0,0,0,0
17,0.7,0.7,0,0,0,0
18,0.711,0.711,0,0,0,0
19,23.688,42.45,0,0,3,1
20,22.323,43.969,0,0,3,1
21,24.723,43.687,0,0,3,1
22,29.194,59.747,0,0,5,2
23,33.704,60.544,0,0,5,1
24,30.47,59.38,0,0,4,2
25,0.787,0.787,0,0,0,0
26,0.655,0.655,0,0,0,0
27,0.675,0.675,0,0,0,0
28,0.669,0.669,0,0,0,0
29,0.704,0.704,0,0,0,0
30,0.646,0.646,0,0,0,0
31,0.83,0.83,0,0,0,0
32,6.874,9.803,39.23,59.048,2,1
33,7.317,10.522,48,63.617,2,1
34,3.645,4.833,45,63.617,2,1
35,13.64,13.826,52,63.617,2,1
36,9.279,12.142,54,63.617,2,1
37,1.541,1.494,50,63.617,2,1
38,0.512,0.512,46,63.617,0,0
39,0.503,0.503,47,63.617,0,0
40,0.484,0.484,55,63.617,0,0
41,1.067,1.236,63.617,63.617,2,2
42,0.798,0.813,63.617,63.617,2,1
43,0.725,0.725,63.617,63.617,0,0
44,1.165,7.493,3.549,63.617,2,1
45,0.907,1.206,18.875,63.617,1,1
46,2.545,12.513,2.83,51.104,2,5
47,0.728,0.728,63.617,63.617,0,0
48,2.471,2.471,13.425,45.582,2,1
49,3.096,4.491,0,63.617,2,2
50,3.363,5.014,2.788,63.617,2,2
51,4.314,4.314,13.485,51.216,4,4
52,0.667,0.667,0,63.617,0,0
53,0.68,0.68,0,63.617,0,0
54,0.55,0.55,0,63.617,0,0
55,1.218,0.694,0,63.617,3,0
56,0.707,0.835,0,63.617,0,0
57,1.469,1.284,5.119,63.617,2,1
58,0.535,0.535,0,63.617,0,0
59,0.564,0.564,63.617,63.617,0,0
60,0.655,0.655,0.83,54.534,0,0
61,2.895,2.97,0.98,63.617,5,2
62,2.923,3.601,0.32,54.075,4,2
63,0.749,0.749,0,0,0,0
64,0.762,0.762,0,0,0,0
65,0.748,0.748,0,0,0,0
66,0.68,0.68,0,0,0,0
67,0.767,0.767,0,0,0,0
68,NA,0.754,NA,0,NA,0
69,NA,0.721,NA,0,NA,0
70,0.691,0.691,0,0,0,0
71,0.828,0.828,0,0,0,0
72,0.85,0.85,0,0,0,0
73,0.852,0.852,0,0,0,0
74,0.707,0.707,0,0,0,0
75,0.648,0.648,0,1.834,0,0
76,0.731,0.731,0,0,0,0
77,3.141,32.172,0,63.617,2,1
78,0.77,0.77,0,0,0,0
79,0.797,0.797,0,0,0,0
80,0.903,0.903,0,0,0,0
81,0.715,0.715,0,0,0,0
82,0.863,0.863,0,0,0,0
83,0.684,0.684,0,0,0,0
84,0.67,0.67,0,0,0,0
85,1.432,1.432,47.395,63.617,5,2
86,0.773,0.773,0,0,0,0
87,0.727,0.727,0,0,0,0
88,0.752,0.725,0,0,0,0
89,0.616,0.616,0,0,0,0
90,63.617,63.617,0,0,2,1
91,63.617,63.617,0,0,2,1
92,63.617,63.617,0,0,2,1
93,63.617,63.617,0,0,2,1
94,63.617,63.617,0,0,2,1
95,63.617,63.617,0,0,2,1
96,0.73,0.73,0,0,0,0
97,0.69,0.69,0,0,0,0
98,2.255,2.255,0,0,1,1
99,0.753,0.753,0,63.617,0,0
100,1.021,2.151,0,63.617,3,1
101,63.617,63.617,0,0,1,1
102,63.617,63.617,0,0,1,1
103,63.617,63.617,0,0,2,1
104,63.617,63.617,0,0,2,1
105,63.617,63.617,0,0,2,1
106,63.617,63.617,0,0,2,1
107,0.741,0.741,0,53.108,0,0
108,0.745,0.745,0,0,0,0
109,12.27,31.904,0,0,5,5
110,7.104,10.385,0,26.229,2,1
111,6.216,9.065,0,37.162,2,1
112,6.566,9.507,0,63.617,2,1
113,0.663,0.663,0,0,0,0
114,0.611,0.611,0,0,0,0
115,1.724,2.494,0,63.617,2,1
116,0.747,0.747,0,0,0,0
117,0.71,0.71,63.617,63.617,0,0
118,0.74,0.74,0,0,0,0
119,0.683,0.683,0,0,0,0
120,0.758,0.758,0,0,0,0
121,0.722,0.722,40.53,63.617,0,0
122,63.617,63.617,0,0,2,1
123,63.617,63.617,0,0,1,1
124,63.617,63.617,0,0,1,1
125,63.617,63.617,0,0,2,1
126,63.617,63.617,0,0,2,1
127,63.617,63.617,0,0,2,1
128,0.833,0.833,0,0,0,0
129,0.831,0.831,0,0,0,0
130,0.683,0.683,0,0,0,0
