id_treatment,experiment,area_size_0dpi,area_size_2dpi,area_size_5dpi,area_size_7dpi,area_size_14dpi,area_size_NAdpi,growth_2dpi,growth_5dpi,growth_7dpi,growth_14dpi
1,1_2,0.638,0.638,0.638,0.64,0.64,NA,0,0,0.0020000000000000018,0.0020000000000000018
10,1_1,0.64,NA,NA,16.402,21.902,NA,NA,NA,15.762,21.262
10,1_2,0.178,0.18,4.938,4.938,4.938,NA,0.0020000000000000018,4.76,4.76,4.76
100,1_1,0.647,NA,NA,1.021,2.151,NA,NA,NA,0.3739999999999999,1.5039999999999998
101,1_1,0.691,NA,NA,63.617,63.617,NA,NA,NA,62.925999999999995,62.925999999999995
102,1_1,0.689,NA,NA,63.617,63.617,NA,NA,NA,62.928,62.928
103,1_1,0.722,NA,NA,63.617,63.617,NA,NA,NA,62.894999999999996,62.894999999999996
104,1_1,0.738,NA,NA,63.617,63.617,NA,NA,NA,62.879,62.879
105,1_1,0.707,NA,NA,63.617,63.617,NA,NA,NA,62.91,62.91
106,1_1,0.678,NA,NA,63.617,63.617,NA,NA,NA,62.939,62.939
107,1_1,0.741,NA,NA,0.741,0.741,NA,NA,NA,0,0
108,1_1,0.745,NA,NA,0.745,0.745,NA,NA,NA,0,0
109,1_1,0.731,NA,NA,12.27,31.904,NA,NA,NA,11.539,31.173
11,1_1,0.634,NA,NA,16.04,20.912,NA,NA,NA,15.405999999999999,20.278
11,1_2,0.69,1.012,20.95,32.306,63.617,NA,0.32200000000000006,20.259999999999998,31.615999999999996,62.927
110,1_1,0.781,NA,NA,7.104,10.385,NA,NA,NA,6.323,9.604
111,1_1,0.718,NA,NA,6.216,9.065,NA,NA,NA,5.498,8.347
112,1_1,0.693,NA,NA,6.566,9.507,NA,NA,NA,5.873,8.814
113,1_1,0.663,NA,NA,0.663,0.663,NA,NA,NA,0,0
114,1_1,0.611,NA,NA,0.611,0.611,NA,NA,NA,0,0
115,1_1,0.667,NA,NA,1.724,2.494,NA,NA,NA,1.057,1.8270000000000002
116,1_1,0.747,NA,NA,0.747,0.747,NA,NA,NA,0,0
117,1_1,0.71,NA,NA,0.71,0.71,NA,NA,NA,0,0
118,1_1,0.74,NA,NA,0.74,0.74,NA,NA,NA,0,0
119,1_1,0.683,0.683,0.683,0.683,0.683,NA,0,0,0,0
12,1_1,0.633,NA,NA,13,17.2,NA,NA,NA,12.367,16.567
12,1_2,0.733,1.628,23.949,43.321,63.617,NA,0.8949999999999999,23.216,42.588,62.884
120,1_1,0.758,0.758,NA,0.758,0.758,NA,0,NA,0,0
121,1_1,0.722,NA,NA,0.722,0.722,NA,NA,NA,0,0
122,1_1,0.689,NA,NA,63.617,63.617,NA,NA,NA,62.928,62.928
123,1_1,0.722,19.568,NA,63.617,63.617,NA,18.846,NA,62.894999999999996,62.894999999999996
124,1_1,0.72,23.144,NA,63.617,63.617,NA,22.424,NA,62.897,62.897
125,1_1,0.689,7.124,NA,63.617,63.617,NA,6.435,NA,62.928,62.928
126,1_1,0.698,NA,NA,63.617,63.617,NA,NA,NA,62.919,62.919
127,1_1,0.696,18.354,NA,63.617,63.617,NA,17.657999999999998,NA,62.921,62.921
128,1_1,0.833,NA,NA,0.833,0.833,NA,NA,NA,0,0
129,1_1,0.831,NA,NA,0.831,0.831,NA,NA,NA,0,0
13,1_1,0.695,NA,NA,36.566,47.514,NA,NA,NA,35.871,46.819
13,1_2,0.779,0.779,0.78,0.78,0.78,NA,0,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009
130,1_1,0.683,NA,NA,0.683,0.683,NA,NA,NA,0,0
14,1_1,0.641,NA,NA,48.35,52.25,NA,NA,NA,47.709,51.609
14,1_2,0.703,0.703,0.7,0.7,0.7,NA,0,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027
15,1_1,0.642,NA,NA,39.99,45.52,NA,NA,NA,39.348,44.878
15,1_2,0.703,0.703,0.7,0.7,0.7,NA,0,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027
16,1_1,0.653,NA,NA,0.653,0.653,NA,NA,NA,0,0
16,1_2,0.726,2.366,6.21,6.21,6.21,NA,1.6400000000000001,5.484,5.484,5.484
17,1_1,0.7,NA,NA,0.7,0.7,NA,NA,NA,0,0
17,1_2,0.726,1.961,9.858,16.148,53.03,NA,1.235,9.132000000000001,15.422,52.304
18,1_1,0.711,NA,NA,0.711,0.711,NA,NA,NA,0,0
18,1_2,0.719,1.925,4.585,5.271,5.271,NA,1.206,3.866,4.552,4.552
19,1_1,0.653,NA,NA,23.688,42.45,NA,NA,NA,23.035,41.797000000000004
19,1_2,0.761,3.302,15.828,19.101,19.101,NA,2.541,15.067,18.34,18.34
2,1_2,0.638,0.64,0.64,0.64,0.64,NA,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018
20,1_1,0.691,NA,NA,22.323,43.969,NA,NA,NA,21.632,43.278
20,1_2,0.743,3.917,12.05,12.05,12.05,NA,3.174,11.307,11.307,11.307
21,1_1,0.821,NA,NA,24.723,43.687,NA,NA,NA,23.901999999999997,42.866
21,1_2,0.73,3.487,33.022,63.62,63.62,NA,2.757,32.292,62.89,62.89
22,1_1,0.745,NA,NA,29.194,59.747,NA,NA,NA,28.448999999999998,59.002
22,1_2,0.917,NA,NA,0.917,NA,NA,NA,NA,0,NA
23,1_1,0.648,NA,NA,33.704,60.544,NA,NA,NA,33.056,59.895999999999994
23,1_2,0.678,NA,NA,0.678,NA,NA,NA,NA,0,NA
24,1_1,0.755,NA,NA,30.47,59.38,NA,NA,NA,29.715,58.625
24,1_2,0.691,NA,NA,0.691,NA,NA,NA,NA,0,NA
25,1_1,0.787,NA,NA,0.787,0.787,NA,NA,NA,0,0
25,1_2,0.65,NA,NA,63.617,NA,NA,NA,NA,62.967,NA
26,1_1,0.655,NA,NA,0.655,0.655,NA,NA,NA,0,0
26,1_2,0.791,NA,NA,63.617,NA,NA,NA,NA,62.826,NA
27,1_1,0.675,NA,NA,0.675,0.675,NA,NA,NA,0,0
27,1_2,0.583,NA,NA,58.648,NA,NA,NA,NA,58.065000000000005,NA
28,1_1,0.669,NA,NA,0.669,0.669,NA,NA,NA,0,0
28,1_2,0.668,NA,NA,52.415,NA,NA,NA,NA,51.747,NA
29,1_1,0.704,NA,NA,0.704,0.704,NA,NA,NA,0,0
29,1_2,0.713,NA,NA,63.617,NA,NA,NA,NA,62.903999999999996,NA
3,1_2,0.771,0.771,0.77,0.77,0.77,NA,0,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009
30,1_1,0.646,NA,NA,0.646,0.646,NA,NA,NA,0,0
30,1_2,0.622,NA,NA,63.617,NA,NA,NA,NA,62.995,NA
31,1_1,0.83,NA,NA,0.83,0.83,NA,NA,NA,0,0
31,1_2,0.77,NA,NA,63.617,NA,NA,NA,NA,62.846999999999994,NA
32,1_1,0.644,NA,NA,6.874,9.803,NA,NA,NA,6.2299999999999995,9.159
32,1_2,0.7,NA,NA,63.617,NA,NA,NA,NA,62.916999999999994,NA
33,1_1,0.653,NA,NA,7.317,10.522,NA,NA,NA,6.664,9.869
33,1_2,0.696,NA,NA,63.617,NA,NA,NA,NA,62.921,NA
34,1_1,0.627,NA,NA,3.645,4.833,NA,NA,NA,3.018,4.206
34,1_2,0.85,NA,NA,15.409,NA,NA,NA,NA,14.559000000000001,NA
35,1_1,0.77,NA,NA,13.64,13.826,NA,NA,NA,12.870000000000001,13.056000000000001
35,1_2,0.781,NA,NA,0.781,NA,NA,NA,NA,0,NA
36,1_1,0.508,NA,NA,9.279,12.142,NA,NA,NA,8.771,11.634
36,1_2,0.765,NA,NA,9.691,NA,NA,NA,NA,8.926,NA
37,1_1,0.59,NA,NA,1.541,1.494,NA,NA,NA,0.951,0.904
37,1_2,0.774,NA,NA,15.044,NA,NA,NA,NA,14.27,NA
38,1_1,0.512,NA,NA,0.512,0.512,NA,NA,NA,0,0
38,1_2,0.764,NA,NA,7.862,NA,NA,NA,NA,7.098,NA
39,1_1,0.503,NA,NA,0.503,0.503,NA,NA,NA,0,0
39,1_2,0.702,NA,NA,15.089,NA,NA,NA,NA,14.387,NA
4,1_2,0.693,43.01,43.667,63.62,63.617,NA,42.317,42.974000000000004,62.927,62.924
40,1_1,0.484,NA,NA,0.484,0.484,NA,NA,NA,0,0
40,1_2,0.765,NA,NA,19.814,NA,NA,NA,NA,19.049,NA
41,1_1,0.6595,NA,NA,1.151,1.1364999999999998,NA,NA,NA,0.49150000000000005,0.47699999999999987
41,1_2,0.675,NA,NA,53.917,NA,NA,NA,NA,53.242000000000004,NA
42,1_1,0.667,NA,NA,0.798,0.813,NA,NA,NA,0.131,0.1459999999999999
42,1_2,0.649,NA,NA,10.67,NA,NA,NA,NA,10.021,NA
43,1_1,0.725,NA,NA,0.725,0.725,NA,NA,NA,0,0
43,1_2,0.702,NA,NA,40.924,NA,NA,NA,NA,40.222,NA
44,1_1,0.756,NA,NA,1.165,7.493,NA,NA,NA,0.40900000000000003,6.737
44,1_2,0.708,NA,NA,49.107,NA,NA,NA,NA,48.399,NA
45,1_1,0.781,NA,NA,0.907,1.206,NA,NA,NA,0.126,0.42499999999999993
45,1_2,0.724,NA,NA,42.42,NA,NA,NA,NA,41.696000000000005,NA
46,1_1,0.651,NA,NA,2.545,12.513,NA,NA,NA,1.894,11.862
46,1_2,0.742,NA,NA,38.329,NA,NA,NA,NA,37.587,NA
47,1_1,0.728,NA,NA,0.728,0.728,NA,NA,NA,0,0
47,1_2,0.689,NA,NA,42.272,NA,NA,NA,NA,41.583,NA
48,1_1,0.649,NA,NA,2.471,2.471,NA,NA,NA,1.822,1.822
48,1_2,0.702,NA,NA,46.172,NA,NA,NA,NA,45.47,NA
49,1_1,0.625,NA,NA,3.096,4.491,NA,NA,NA,2.471,3.8659999999999997
49,1_2,0.702,NA,NA,63.617,NA,NA,NA,NA,62.915,NA
5,1_2,0.736,31.037,63.617,63.617,63.617,NA,30.301,62.881,62.881,62.881
50,1_1,0.64,NA,NA,3.363,5.014,NA,NA,NA,2.723,4.3740000000000006
50,1_2,0.695,NA,NA,63.617,NA,NA,NA,NA,62.922,NA
51,1_1,0.662,NA,NA,4.314,4.314,NA,NA,NA,3.652,3.652
51,1_2,0.701,NA,NA,63.617,NA,NA,NA,NA,62.916,NA
52,1_1,0.667,NA,NA,0.667,0.667,NA,NA,NA,0,0
52,1_2,0.806,NA,NA,49.63,NA,NA,NA,NA,48.824000000000005,NA
53,1_1,0.68,NA,NA,0.68,0.68,NA,NA,NA,0,0
53,1_2,0.71,NA,NA,45.608,NA,NA,NA,NA,44.897999999999996,NA
54,1_1,0.55,NA,NA,0.55,0.55,NA,NA,NA,0,0
54,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1_1,0.694,NA,NA,1.218,0.694,NA,NA,NA,0.524,0
55,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1_1,0.777,NA,NA,0.707,0.835,NA,NA,NA,-0.07000000000000006,0.05799999999999994
56,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1_1,0.68,NA,NA,1.469,1.284,NA,NA,NA,0.789,0.604
57,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1_1,0.535,NA,NA,0.535,0.535,NA,NA,NA,0,0
58,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1_1,0.564,NA,NA,0.564,0.564,NA,NA,NA,0,0
59,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1_2,0.716,44.025,63.617,63.617,63.617,NA,43.309,62.900999999999996,62.900999999999996,62.900999999999996
60,1_1,0.655,NA,NA,0.655,0.655,NA,NA,NA,0,0
60,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1_1,0.788,NA,NA,2.895,2.97,NA,NA,NA,2.107,2.1820000000000004
61,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1_1,0.707,NA,NA,2.923,3.601,NA,NA,NA,2.216,2.894
62,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1_1,0.749,NA,NA,0.749,0.749,NA,NA,NA,0,0
63,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1_1,0.762,NA,NA,0.762,0.762,NA,NA,NA,0,0
64,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1_1,0.748,NA,NA,0.748,0.748,NA,NA,NA,0,0
65,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1_1,0.68,NA,NA,0.68,0.68,NA,NA,NA,0,0
66,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1_1,0.767,NA,NA,0.767,0.767,NA,NA,NA,0,0
67,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1_1,0.754,NA,NA,NA,0.754,NA,NA,NA,NA,0
68,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1_1,0.721,NA,NA,NA,0.721,NA,NA,NA,NA,0
69,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1_2,0.733,15.87,63.617,63.617,63.617,NA,15.136999999999999,62.884,62.884,62.884
70,1_1,0.691,NA,NA,0.691,0.691,NA,NA,NA,0,0
70,1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1_1,0.828,NA,NA,0.828,0.828,NA,NA,NA,0,0
72,1_1,0.85,NA,NA,0.85,0.85,NA,NA,NA,0,0
73,1_1,0.852,NA,NA,0.852,0.852,NA,NA,NA,0,0
74,1_1,0.707,NA,NA,0.707,0.707,NA,NA,NA,0,0
75,1_1,0.648,NA,NA,0.648,0.648,NA,NA,NA,0,0
76,1_1,0.731,NA,NA,0.731,0.731,NA,NA,NA,0,0
77,1_1,0.752,NA,NA,3.141,32.172,NA,NA,NA,2.3890000000000002,31.419999999999998
78,1_1,0.77,NA,NA,0.77,0.77,NA,NA,NA,0,0
79,1_1,0.797,NA,NA,0.797,0.797,NA,NA,NA,0,0
8,1_2,0.583,21.402,NA,63.617,63.617,NA,20.819000000000003,NA,63.034,63.034
80,1_1,0.903,NA,NA,0.903,0.903,NA,NA,NA,0,0
81,1_1,0.715,NA,NA,0.715,0.715,NA,NA,NA,0,0
82,1_1,0.863,NA,NA,0.863,0.863,NA,NA,NA,0,0
83,1_1,0.684,NA,NA,0.684,0.684,NA,NA,NA,0,0
84,1_1,0.67,NA,NA,0.67,0.67,NA,NA,NA,0,0
85,1_1,0.674,NA,NA,1.432,1.432,NA,NA,NA,0.7579999999999999,0.7579999999999999
86,1_1,0.773,NA,NA,0.773,0.773,NA,NA,NA,0,0
87,1_1,0.727,NA,NA,0.727,0.727,NA,NA,NA,0,0
88,1_1,0.752,NA,NA,0.752,0.725,NA,NA,NA,0,-0.027000000000000024
89,1_1,0.616,NA,NA,0.616,0.616,NA,NA,NA,0,0
9,1_2,0.733,22.752,63.617,63.617,63.617,NA,22.019,62.884,62.884,62.884
90,1_1,0.651,NA,NA,63.617,63.617,NA,NA,NA,62.965999999999994,62.965999999999994
91,1_1,0.713,NA,NA,63.617,63.617,NA,NA,NA,62.903999999999996,62.903999999999996
92,1_1,0.661,NA,NA,63.617,63.617,NA,NA,NA,62.955999999999996,62.955999999999996
93,1_1,0.738,NA,NA,63.617,63.617,NA,NA,NA,62.879,62.879
94,1_1,0.738,NA,NA,63.617,63.617,NA,NA,NA,62.879,62.879
95,1_1,0.742,NA,NA,63.617,63.617,NA,NA,NA,62.875,62.875
96,1_1,0.73,NA,NA,0.73,0.73,NA,NA,NA,0,0
97,1_1,0.69,NA,NA,0.69,0.69,NA,NA,NA,0,0
98,1_1,0.679,NA,NA,2.255,2.255,NA,NA,NA,1.5759999999999998,1.5759999999999998
99,1_1,0.753,NA,NA,0.753,0.753,NA,NA,NA,0,0
