"id_treatment","area_size_0dpi","area_size_7dpi","area_size_14dpi","area_size_2dpi","area_size_5dpi"
11,0.634,16.04,20.912,NA,NA
12,0.633,13,17.2,NA,NA
10,0.64,16.402,21.902,NA,NA
13,0.695,36.566,47.514,NA,NA
14,0.641,48.35,52.25,NA,NA
15,0.642,39.99,45.52,NA,NA
16,0.653,0.653,0.653,NA,NA
17,0.7,0.7,0.7,NA,NA
18,0.711,0.711,0.711,NA,NA
19,0.653,23.688,42.45,NA,NA
20,0.691,22.323,43.969,NA,NA
21,0.821,24.723,43.687,NA,NA
22,0.745,29.194,59.747,NA,NA
23,0.648,33.704,60.544,NA,NA
24,0.755,30.47,59.38,NA,NA
25,0.787,0.787,0.787,NA,NA
26,0.655,0.655,0.655,NA,NA
27,0.675,0.675,0.675,NA,NA
28,0.669,0.669,0.669,NA,NA
29,0.704,0.704,0.704,NA,NA
30,0.646,0.646,0.646,NA,NA
31,0.83,0.83,0.83,NA,NA
32,0.644,6.874,9.803,NA,NA
33,0.653,7.317,10.522,NA,NA
34,0.627,3.645,4.833,NA,NA
35,0.77,13.64,13.826,NA,NA
36,0.508,9.279,12.142,NA,NA
37,0.59,1.541,1.494,NA,NA
38,0.512,0.512,0.512,NA,NA
39,0.503,0.503,0.503,NA,NA
40,0.484,0.484,0.484,NA,NA
41,0.658,1.067,1.236,NA,NA
42,0.667,0.798,0.813,NA,NA
43,0.725,0.725,0.725,NA,NA
44,0.756,1.165,7.493,NA,NA
45,0.781,0.907,1.206,NA,NA
46,0.651,2.545,12.513,NA,NA
47,0.728,0.728,0.728,NA,NA
48,0.649,2.471,2.471,NA,NA
49,0.625,3.096,4.491,NA,NA
50,0.64,3.363,5.014,NA,NA
51,0.662,4.314,4.314,NA,NA
52,0.667,0.667,0.667,NA,NA
53,0.68,0.68,0.68,NA,NA
54,0.55,0.55,0.55,NA,NA
55,0.694,1.218,0.694,NA,NA
56,0.777,0.707,0.835,NA,NA
57,0.68,1.469,1.284,NA,NA
58,0.535,0.535,0.535,NA,NA
59,0.564,0.564,0.564,NA,NA
60,0.655,0.655,0.655,NA,NA
61,0.788,2.895,2.97,NA,NA
62,0.707,2.923,3.601,NA,NA
63,0.749,0.749,0.749,NA,NA
64,0.762,0.762,0.762,NA,NA
65,0.748,0.748,0.748,NA,NA
66,0.68,0.68,0.68,NA,NA
67,0.767,0.767,0.767,NA,NA
68,0.754,NA,0.754,NA,NA
69,0.721,NA,0.721,NA,NA
70,0.691,0.691,0.691,NA,NA
71,0.828,0.828,0.828,NA,NA
72,0.85,0.85,0.85,NA,NA
73,0.852,0.852,0.852,NA,NA
74,0.707,0.707,0.707,NA,NA
75,0.648,0.648,0.648,NA,NA
76,0.731,0.731,0.731,NA,NA
77,0.752,3.141,32.172,NA,NA
78,0.77,0.77,0.77,NA,NA
79,0.797,0.797,0.797,NA,NA
80,0.903,0.903,0.903,NA,NA
81,0.715,0.715,0.715,NA,NA
82,0.863,0.863,0.863,NA,NA
83,0.684,0.684,0.684,NA,NA
84,0.67,0.67,0.67,NA,NA
85,0.674,1.432,1.432,NA,NA
86,0.773,0.773,0.773,NA,NA
87,0.727,0.727,0.727,NA,NA
88,0.752,0.752,0.725,NA,NA
89,0.616,0.616,0.616,NA,NA
90,0.651,63.617,63.617,NA,NA
91,0.713,63.617,63.617,NA,NA
92,0.661,63.617,63.617,NA,NA
93,0.738,63.617,63.617,NA,NA
94,0.738,63.617,63.617,NA,NA
95,0.742,63.617,63.617,NA,NA
96,0.73,0.73,0.73,NA,NA
97,0.69,0.69,0.69,NA,NA
98,0.679,2.255,2.255,NA,NA
99,0.753,0.753,0.753,NA,NA
100,0.647,1.021,2.151,NA,NA
101,0.691,63.617,63.617,NA,NA
102,0.689,63.617,63.617,NA,NA
103,0.722,63.617,63.617,NA,NA
104,0.738,63.617,63.617,NA,NA
105,0.707,63.617,63.617,NA,NA
106,0.678,63.617,63.617,NA,NA
107,0.741,0.741,0.741,NA,NA
108,0.745,0.745,0.745,NA,NA
109,0.731,12.27,31.904,NA,NA
110,0.781,7.104,10.385,NA,NA
111,0.718,6.216,9.065,NA,NA
112,0.693,6.566,9.507,NA,NA
113,0.663,0.663,0.663,NA,NA
114,0.611,0.611,0.611,NA,NA
115,0.667,1.724,2.494,NA,NA
116,0.747,0.747,0.747,NA,NA
117,0.71,0.71,0.71,NA,NA
118,0.74,0.74,0.74,NA,NA
119,0.683,0.683,0.683,0.683,0.683
120,0.758,0.758,0.758,0.758,NA
121,0.722,0.722,0.722,NA,NA
122,0.689,63.617,63.617,NA,NA
123,0.722,63.617,63.617,19.568,NA
124,0.72,63.617,63.617,23.144,NA
125,0.689,63.617,63.617,7.124,NA
126,0.698,63.617,63.617,NA,NA
127,0.696,63.617,63.617,18.354,NA
128,0.833,0.833,0.833,NA,NA
129,0.831,0.831,0.831,NA,NA
130,0.683,0.683,0.683,NA,NA
