id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,id_bact,date.x,sample_weight,dilution_ecoli,ecoli_counted,dilution_enterococcus,enterococcus_counted,...9,id_picture,date.y,area_size,macro_description,contamination,comments,collection_date_1,collection_date_2,total-weight,ph,water_content,sample_weight_1,sample_weight_2,sample_weight_3,dilution_factor_ecoli,dilution_factor_enterococcus,e_coli_counted_1,e_coli_counted_2,e_coli_counted_3,enterococcus_counted_1,enterococcus_counted_2,enterococcus_counted_3,species,material,material_2,mass,production_date,forming_date
1,1,1,2025-05-08T00:00:00Z,25.7,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,NA,NA
2,1,1,2025-05-08T00:00:00Z,27.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,NA,NA
3,1,1,2025-05-08T00:00:00Z,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,corn cobs,oatbran 10%,NA,NA,NA
4,2,1,2025-05-08T00:00:00Z,23.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,P. ostreatus v. Floridae,wood chips,oatbran 10%,NA,NA,NA
5,3,1,2025-05-08T00:00:00Z,26.569999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,C. comatus,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,1,2025-05-14T00:00:00Z,0.2500000000000002,100,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,2,2025-05-14T00:00:00Z,0.23,100,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,3,2025-05-14T00:00:00Z,0.31999999999999984,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,7,2025-05-19T00:00:00Z,0.15,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
6,4,1,2025-05-08T00:00:00Z,26.45,NA,NA,NA,8,2025-05-19T00:00:00Z,0.21,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-07T00:00:00Z,NA,240,NA,81,0.25,0.46,0.33,10,NA,48,71,66,NA,NA,NA,ctrl - inactivated,corn cobs,oatbran 10%,NA,NA,NA
