id_bact,id_treatment,date,sample_weight,dilution_ecoli,ecoli_counted,dilution_enterococcus,enterococcus_counted
1,6,2025-05-14T00:00:00Z,0.2500000000000002,100,4,NA,NA
2,6,2025-05-14T00:00:00Z,0.22999999999999998,100,8,NA,NA
3,6,2025-05-14T00:00:00Z,0.31999999999999984,100,3,NA,NA
4,9,2025-05-14T00:00:00Z,0.2200000000000002,100,0,NA,NA
5,9,2025-05-14T00:00:00Z,0.13000000000000012,100,0,NA,NA
6,9,2025-05-14T00:00:00Z,0.15000000000000036,100,0,NA,NA
7,6,2025-05-19T00:00:00Z,0.15,10,1,NA,NA
8,6,2025-05-19T00:00:00Z,0.21,10,6,NA,NA
9,6,2025-05-19T00:00:00Z,0.29,10,10,NA,NA
10,9,2025-05-19T00:00:00Z,0.19,10,1,NA,NA
11,9,2025-05-19T00:00:00Z,0.21,10,0,NA,NA
12,9,2025-05-19T00:00:00Z,0.16,10,2,NA,NA
13,10,2025-07-22T00:00:00Z,0.71,1000000,94,NA,NA
14,11,2025-07-22T00:00:00Z,0.62,2000000,75,NA,NA
15,12,2025-07-22T00:00:00Z,0.85,1000000,91,NA,NA
16,13,2025-07-22T00:00:00Z,0.54,100000,39,NA,NA
17,14,2025-07-22T00:00:00Z,1.08,100000,170,NA,NA
18,15,2025-07-22T00:00:00Z,0.98,1000000,75,NA,NA
19,16,2025-07-22T00:00:00Z,1.08,5000,16,NA,NA
20,17,2025-07-22T00:00:00Z,1.45,5000,0,NA,NA
21,18,2025-07-22T00:00:00Z,1.38,50,21,NA,NA
22,19,2025-07-23T00:00:00Z,0.57,2000000,85,NA,NA
23,20,2025-07-23T00:00:00Z,1.14,2000000,48,NA,NA
24,21,2025-07-23T00:00:00Z,0.91,2000000,73,NA,NA
25,22,2025-07-23T00:00:00Z,1.07,2000000,72,NA,NA
26,23,2025-07-23T00:00:00Z,0.94,2000000,104,NA,NA
27,24,2025-07-23T00:00:00Z,1.06,2000000,106,NA,NA
28,29,2025-07-23T00:00:00Z,1.35,50,0,NA,NA
29,30,2025-07-23T00:00:00Z,1.05,50,0,NA,NA
30,31,2025-07-23T00:00:00Z,1.23,50,0,NA,NA
31,77,2025-08-19T00:00:00Z,1.06,5000000,365,NA,NA
32,85,2025-08-19T00:00:00Z,1.18,5000000,331,NA,NA
33,87,2025-08-19T00:00:00Z,1.4,10,0,NA,NA
34,88,2025-08-19T00:00:00Z,1.41,10,1,NA,NA
35,89,2025-08-19T00:00:00Z,2,10,0,NA,NA
36,90,2025-08-19T00:00:00Z,1.52,5000000,258,NA,NA
37,91,2025-08-19T00:00:00Z,1.17,5000000,119,NA,NA
38,92,2025-08-19T00:00:00Z,1.56,5000000,508,NA,NA
39,93,2025-08-19T00:00:00Z,1.37,5000000,146,NA,NA
40,94,2025-08-19T00:00:00Z,1.5,5000000,221,NA,NA
41,95,2025-08-19T00:00:00Z,1.54,5000000,208,NA,NA
