id_treatment,id_inoc,id_faeces,starting_date,weight_0dpi,weight_14dpi,water_content_14dpi,ph_14dpi,exclude
1,46,1,2025-08-13T00:00:00Z,15.03,14.87,0.5355450236966821,5.52,NA
2,46,1,2025-08-13T00:00:00Z,19.16,17.81,0.5101214574898787,8.92,exclude
3,46,1,2025-08-13T00:00:00Z,16.29,16.16,0.5000000000000004,5.53,NA
4,47,1,2025-08-13T00:00:00Z,14.78,14.11,0.5071090047393363,8.85,NA
5,47,1,2025-08-13T00:00:00Z,15.85,15.16,0.5333333333333333,8.95,NA
6,47,1,2025-08-13T00:00:00Z,14.58,14.01,0.49152542372881325,8.94,NA
7,48,1,2025-08-13T00:00:00Z,16.27,15.12,0.48356807511737077,8.48,NA
8,48,1,2025-08-13T00:00:00Z,16.45,15.36,0.5355805243445693,9.05,NA
9,48,1,2025-08-13T00:00:00Z,16.99,16.22,0.4739336492890992,9.07,NA
10,49,1,2025-08-13T00:00:00Z,21.88,21.19,NA,8.51,NA
11,49,1,2025-08-13T00:00:00Z,15.99,15.55,0.4909090909090911,8.72,NA
12,49,1,2025-08-13T00:00:00Z,16.09,15.57,0.4955752212389377,9.23,NA
13,50,1,2025-08-13T00:00:00Z,17.21,17.1,0.5000000000000004,5.57,NA
14,50,1,2025-08-13T00:00:00Z,16.72,16.61,0.5233644859813085,5.54,NA
15,50,1,2025-08-13T00:00:00Z,16.57,16.49,0.5120481927710846,5.53,NA
16,51,1,2025-08-13T00:00:00Z,13.77,12.89,0.5095238095238097,8.98,NA
17,51,1,2025-08-13T00:00:00Z,16.26,15.59,0.5243055555555556,9.08,NA
18,51,1,2025-08-13T00:00:00Z,15.91,15.36,0.5238095238095238,9.04,NA
19,52,1,2025-08-13T00:00:00Z,15.6,14.91,0.541353383458647,9.02,NA
20,52,1,2025-08-13T00:00:00Z,14.58,13.23,0.5059288537549406,9.04,NA
21,52,1,2025-08-13T00:00:00Z,14.55,13.8,0.5235602094240834,8.94,NA
22,53,2,2025-08-20T00:00:00Z,13.82,13.74,NA,6.23,NA
23,53,2,2025-08-20T00:00:00Z,15.48,15.32,NA,6,NA
24,53,2,2025-08-20T00:00:00Z,14.56,14.45,NA,6.05,NA
25,54,2,2025-08-20T00:00:00Z,16.22,15.83,NA,9,NA
26,54,2,2025-08-20T00:00:00Z,16.77,15.19,NA,9.02,NA
27,54,2,2025-08-20T00:00:00Z,16.29,15.65,NA,8.99,NA
28,55,2,2025-08-20T00:00:00Z,13.31,11.14,NA,9.01,NA
29,55,2,2025-08-20T00:00:00Z,14.45,13.47,NA,9,NA
30,55,2,2025-08-20T00:00:00Z,15.36,14.96,NA,9.05,NA
31,56,2,2025-08-20T00:00:00Z,15.68,14.38,NA,9.1,NA
32,56,2,2025-08-20T00:00:00Z,13.58,13.23,NA,9.04,NA
33,56,2,2025-08-20T00:00:00Z,16.03,15.68,NA,8.95,NA
34,57,2,2025-08-20T00:00:00Z,15.39,14.93,NA,9.03,NA
35,57,2,2025-08-20T00:00:00Z,14.13,14.02,NA,5.92,NA
36,57,2,2025-08-20T00:00:00Z,14.05,13.71,NA,9.22,NA
37,58,2,2025-08-20T00:00:00Z,14.81,14.53,NA,8.98,NA
38,58,2,2025-08-20T00:00:00Z,15.06,14.78,NA,9,NA
39,58,2,2025-08-20T00:00:00Z,13.36,13.17,NA,8.95,NA
40,59,2,2025-08-20T00:00:00Z,16.78,15.26,NA,8.71,NA
41,59,2,2025-08-20T00:00:00Z,17.01,16.85,NA,8.95,NA
42,59,2,2025-08-20T00:00:00Z,15.74,15.63,NA,9.08,NA
43,60,2,2025-08-20T00:00:00Z,16.04,15.65,NA,9.15,NA
44,60,2,2025-08-20T00:00:00Z,14.82,14.39,NA,9.09,NA
45,60,2,2025-08-20T00:00:00Z,16.9,15.94,NA,9.08,NA
46,61,2,2025-08-20T00:00:00Z,16.5,16.03,NA,9.08,NA
