id_picture,id_treatment,date,area_size,growth_description,contamination_area,reproductive_structures,comments
1,1,2025-08-13T00:00:00Z,0.638,0,0,0,
2,1,2025-08-15T00:00:00Z,0.638,0,0,0,
3,1,2025-08-18T00:00:00Z,0.638,0,0,0,
4,1,2025-08-20T00:00:00Z,0.64,0,4.742,0,
5,1,2025-08-27T00:00:00Z,0.64,0,6.679,0,
6,2,2025-08-13T00:00:00Z,0.638,0,0,0,
7,2,2025-08-15T00:00:00Z,0.64,0,0,0,
8,2,2025-08-18T00:00:00Z,0.64,0,29.603,0,
9,2,2025-08-20T00:00:00Z,0.64,0,57.74,0,
10,2,2025-08-27T00:00:00Z,0.64,0,63.617,0,
11,3,2025-08-13T00:00:00Z,0.771,0,0,0,
12,3,2025-08-15T00:00:00Z,0.771,0,0,0,
13,3,2025-08-18T00:00:00Z,0.77,0,0,0,
14,3,2025-08-20T00:00:00Z,0.77,0,0,0,
15,3,2025-08-27T00:00:00Z,0.77,0,0,0,
16,4,2025-08-13T00:00:00Z,0.693,0,0,0,
17,4,2025-08-15T00:00:00Z,43.01,3,0,0,
18,4,2025-08-18T00:00:00Z,43.667,3,0,0,
19,4,2025-08-20T00:00:00Z,63.62,3,0,0,
20,4,2025-08-27T00:00:00Z,63.617,3,0,0,
21,5,2025-08-13T00:00:00Z,0.736,0,0,0,
22,5,2025-08-15T00:00:00Z,31.037,3,0,0,
23,5,2025-08-18T00:00:00Z,63.617,3,0,0,
24,5,2025-08-20T00:00:00Z,63.617,3,0,0,
25,5,2025-08-27T00:00:00Z,63.617,3,0,0,
26,6,2025-08-13T00:00:00Z,0.716,0,0,0,
27,6,2025-08-15T00:00:00Z,44.025,3,0,0,
28,6,2025-08-18T00:00:00Z,63.617,3,0,0,
29,6,2025-08-20T00:00:00Z,63.617,3,0,0,
30,6,2025-08-27T00:00:00Z,63.617,3,0,0,
31,7,2025-08-13T00:00:00Z,0.733,0,0,0,
32,7,2025-08-15T00:00:00Z,15.87,3,0,0,
33,7,2025-08-18T00:00:00Z,63.617,3,0,0,
34,7,2025-08-20T00:00:00Z,63.617,3,0,0,
35,7,2025-08-27T00:00:00Z,63.617,3,0,0,
36,8,2025-08-13T00:00:00Z,0.583,0,0,0,
37,8,2025-08-15T00:00:00Z,21.402,3,0,0,
38,8,2025-08-20T00:00:00Z,63.617,3,0,0,
39,8,2025-08-27T00:00:00Z,63.617,4,0,0,
40,9,2025-08-13T00:00:00Z,0.733,0,0,0,
41,9,2025-08-15T00:00:00Z,22.752,3,0,0,
42,9,2025-08-18T00:00:00Z,63.617,3,0,0,
43,9,2025-08-20T00:00:00Z,63.617,3,0,1,
44,9,2025-08-27T00:00:00Z,63.617,3,13.039,1,
45,10,2025-08-13T00:00:00Z,0.178,0,0,0,
46,10,2025-08-15T00:00:00Z,0.18,0,0,0,
47,10,2025-08-18T00:00:00Z,4.938,3,42.901,0,
48,10,2025-08-20T00:00:00Z,4.938,3,42.901,0,
49,10,2025-08-27T00:00:00Z,4.938,3,63.617,0,
50,11,2025-08-13T00:00:00Z,0.69,0,0,0,
51,11,2025-08-15T00:00:00Z,1.012,5,0,0,
52,11,2025-08-18T00:00:00Z,20.95,3,0,0,
53,11,2025-08-20T00:00:00Z,32.306,3,0,1,
54,11,2025-08-27T00:00:00Z,63.617,3,0,1,
55,12,2025-08-13T00:00:00Z,0.733,0,0,0,
56,12,2025-08-15T00:00:00Z,1.628,5,0,0,
57,12,2025-08-18T00:00:00Z,23.949,3,0,0,
58,12,2025-08-20T00:00:00Z,43.321,3,0,0,
59,12,2025-08-27T00:00:00Z,63.617,3,0,1,
60,13,2025-08-13T00:00:00Z,0.779,0,0,0,
61,13,2025-08-15T00:00:00Z,0.779,0,0,0,
62,13,2025-08-18T00:00:00Z,0.78,0,0,0,
63,13,2025-08-20T00:00:00Z,0.78,0,0,0,
64,13,2025-08-27T00:00:00Z,0.78,0,0,0,
65,14,2025-08-13T00:00:00Z,0.703,0,0,0,
66,14,2025-08-15T00:00:00Z,0.703,0,0,0,
67,14,2025-08-18T00:00:00Z,0.7,0,0,0,
68,14,2025-08-20T00:00:00Z,0.7,0,0,0,
69,14,2025-08-27T00:00:00Z,0.7,0,0,0,
70,15,2025-08-13T00:00:00Z,0.703,0,0,0,
71,15,2025-08-15T00:00:00Z,0.703,0,0,0,
72,15,2025-08-18T00:00:00Z,0.7,0,0,0,
73,15,2025-08-20T00:00:00Z,0.7,0,0,0,
74,15,2025-08-27T00:00:00Z,0.7,0,0,0,
75,16,2025-08-13T00:00:00Z,0.726,0,0,0,
76,16,2025-08-15T00:00:00Z,2.366,5,0,NA,
77,16,2025-08-18T00:00:00Z,6.21,5,63.617,0,
78,16,2025-08-20T00:00:00Z,6.21,5,63.617,0,
79,16,2025-08-27T00:00:00Z,6.21,5,63.617,0,
80,17,2025-08-13T00:00:00Z,0.726,0,0,0,
81,17,2025-08-15T00:00:00Z,1.961,5,0,0,
82,17,2025-08-18T00:00:00Z,9.858,5,0,0,
83,17,2025-08-20T00:00:00Z,16.148,5,0,0,
84,17,2025-08-27T00:00:00Z,53.03,5,0,0,
85,18,2025-08-13T00:00:00Z,0.719,0,0,0,
86,18,2025-08-15T00:00:00Z,1.925,5,0,0,
87,18,2025-08-18T00:00:00Z,4.585,5,63.617,0,
88,18,2025-08-20T00:00:00Z,5.271,5,63.617,0,
89,18,2025-08-27T00:00:00Z,5.271,5,63.617,0,
90,19,2025-08-13T00:00:00Z,0.761,0,0,0,
91,19,2025-08-15T00:00:00Z,3.302,3,0,0,
92,19,2025-08-18T00:00:00Z,15.828,3,47.789,0,
93,19,2025-08-20T00:00:00Z,19.101,3,44.516,0,
94,19,2025-08-27T00:00:00Z,19.101,3,44.516,0,
95,20,2025-08-13T00:00:00Z,0.743,0,0,0,
96,20,2025-08-15T00:00:00Z,3.917,4,3.284,0,
97,20,2025-08-18T00:00:00Z,12.05,4,51.56699999999999,1,
98,20,2025-08-20T00:00:00Z,12.05,4,51.56699999999999,1,
99,20,2025-08-27T00:00:00Z,12.05,4,51.56699999999999,1,
100,21,2025-08-13T00:00:00Z,0.73,0,0,0,
101,21,2025-08-15T00:00:00Z,3.487,4,0,0,
102,21,2025-08-18T00:00:00Z,33.022,4,0,0,
103,21,2025-08-20T00:00:00Z,63.62,4,0,1,
104,21,2025-08-27T00:00:00Z,63.62,4,0,1,
105,22,2025-08-20T00:00:00Z,0.917,0,0,0,
106,22,2025-08-27T00:00:00Z,0.917,0,0,0,
107,22,2025-09-03T00:00:00Z,0.917,0,0,0,
108,23,2025-08-20T00:00:00Z,0.678,0,0,0,
109,23,2025-08-27T00:00:00Z,0.678,0,0,0,
110,23,2025-09-03T00:00:00Z,0.678,0,0,0,
111,24,2025-08-20T00:00:00Z,0.691,0,0,0,
112,24,2025-08-27T00:00:00Z,0.691,0,0,0,
113,24,2025-09-03T00:00:00Z,0.691,0,0,0,
114,25,2025-08-20T00:00:00Z,0.65,0,0,0,
115,25,2025-08-27T00:00:00Z,63.617,3,0,0,
116,25,2025-09-03T00:00:00Z,63.617,4,0,0,
117,26,2025-08-20T00:00:00Z,0.791,0,0,0,
118,26,2025-08-27T00:00:00Z,63.617,3,0,0,
119,26,2025-09-03T00:00:00Z,63.617,4,0,0,
120,27,2025-08-20T00:00:00Z,0.583,0,0,0,
121,27,2025-08-27T00:00:00Z,58.648,3,0,0,
122,27,2025-09-03T00:00:00Z,63.617,4,0,0,
123,28,2025-08-20T00:00:00Z,0.668,0,0,0,
124,28,2025-08-27T00:00:00Z,52.415,3,0,0,
125,28,2025-09-03T00:00:00Z,63.617,3,0,0,
126,29,2025-08-20T00:00:00Z,0.713,0,0,0,
127,29,2025-08-27T00:00:00Z,63.617,3,0,0,
128,29,2025-09-03T00:00:00Z,63.617,4,0,0,
129,30,2025-08-20T00:00:00Z,0.622,0,0,0,
130,30,2025-08-27T00:00:00Z,63.617,3,0,0,
131,30,2025-09-03T00:00:00Z,63.617,3,0,0,
132,31,2025-08-20T00:00:00Z,0.77,0,0,0,
133,31,2025-08-27T00:00:00Z,63.617,4,0,1,
134,31,2025-09-03T00:00:00Z,63.62,2,0,1,
135,32,2025-08-20T00:00:00Z,0.7,0,0,0,
136,32,2025-08-27T00:00:00Z,63.617,4,0,1,
137,32,2025-09-03T00:00:00Z,63.617,2,0,1,
138,33,2025-08-20T00:00:00Z,0.696,0,0,0,
139,33,2025-08-27T00:00:00Z,63.617,3,0,1,
140,33,2025-09-03T00:00:00Z,63.62,2,0,1,
141,34,2025-08-20T00:00:00Z,0.85,0,0,0,
142,34,2025-08-27T00:00:00Z,15.409,5,0,0,
143,34,2025-09-03T00:00:00Z,63.62,5,0,0,
144,35,2025-08-20T00:00:00Z,0.781,0,0,0,
145,35,2025-08-27T00:00:00Z,0.781,0,0,0,
146,35,2025-09-03T00:00:00Z,0.781,0,0,0,
147,36,2025-08-20T00:00:00Z,0.765,0,0,0,
148,36,2025-08-27T00:00:00Z,9.691,5,0,0,
149,36,2025-09-03T00:00:00Z,63.62,5,0,0,
150,37,2025-08-20T00:00:00Z,0.774,0,0,0,
151,37,2025-08-27T00:00:00Z,15.044,5,0,0,
152,37,2025-09-03T00:00:00Z,47.284,5,0,0,
153,38,2025-08-20T00:00:00Z,0.764,0,0,0,
154,38,2025-08-27T00:00:00Z,7.862,3,55.757999999999996,0,
155,38,2025-09-03T00:00:00Z,7.862,3,55.757999999999996,0,
156,39,2025-08-20T00:00:00Z,0.702,0,0,0,
157,39,2025-08-27T00:00:00Z,15.089,5,0,0,
158,39,2025-09-03T00:00:00Z,41.221,5,0,0,
159,40,2025-08-20T00:00:00Z,0.765,0,0,0,
160,40,2025-08-27T00:00:00Z,19.814,3,43.806,0,
161,40,2025-09-03T00:00:00Z,19.814,3,43.806,0,
162,41,2025-08-20T00:00:00Z,0.675,0,0,0,
163,41,2025-08-27T00:00:00Z,53.917,3,0,0,
164,41,2025-09-03T00:00:00Z,63.62,3,0,0,
165,42,2025-08-20T00:00:00Z,0.649,0,0,0,
166,42,2025-08-27T00:00:00Z,10.67,3,52.949999999999996,0,
167,42,2025-09-03T00:00:00Z,10.67,3,52.949999999999996,0,
168,43,2025-08-20T00:00:00Z,0.702,0,0,0,
169,43,2025-08-27T00:00:00Z,40.924,4,0,1,
170,43,2025-09-03T00:00:00Z,44.376,3,0,1,
171,44,2025-08-20T00:00:00Z,0.708,0,0,0,
172,44,2025-08-27T00:00:00Z,49.107,4,0,1,
173,44,2025-09-03T00:00:00Z,49.107,3,0,1,
174,45,2025-08-20T00:00:00Z,0.724,0,0,0,
175,45,2025-08-27T00:00:00Z,42.42,3,0,1,
176,45,2025-09-03T00:00:00Z,63.62,3,0,1,
177,46,2025-08-20T00:00:00Z,0.742,0,0,0,
178,46,2025-08-27T00:00:00Z,38.329,4,0,0,
179,46,2025-09-03T00:00:00Z,44.951,3,0,0,
180,47,2025-08-20T00:00:00Z,0.689,0,0,0,
181,47,2025-08-27T00:00:00Z,42.272,4,0,0,
182,47,2025-09-03T00:00:00Z,50.27,3,0,0,
183,48,2025-08-20T00:00:00Z,0.702,0,0,0,
184,48,2025-08-27T00:00:00Z,46.172,4,0,NA,
185,48,2025-09-03T00:00:00Z,55.104,3,0,0,
186,49,2025-08-20T00:00:00Z,0.702,0,0,0,
187,49,2025-08-27T00:00:00Z,63.617,3,0,0,
188,49,2025-09-03T00:00:00Z,63.62,4,0,0,
189,50,2025-08-20T00:00:00Z,0.695,0,0,0,
190,50,2025-08-27T00:00:00Z,63.617,3,0,0,
191,50,2025-09-03T00:00:00Z,63.617,4,0,0,
192,51,2025-08-20T00:00:00Z,0.701,0,0,0,
